cohort_id,time_id,covariate_id,count_value,min_value,max_value,mean,sd,median_value,p_10_value,p_25_value,p_75_value,p_90_value,database_id
135,0,1010,39650,0,2711,392.62918,553.7233484719603,115,2,3,600,1254,-520511347
144,0,1010,12303,0,2703,372.025522,543.6046318529671,94,2,3,561,1193,-520511347
135,0,1901,39650,-5,22,1.917125,1.9507006433586882,1,1,1,2,4,-520511347
144,0,1901,12303,-5,20,1.928717,1.9725493656687023,1,1,1,2,4,-520511347
135,0,1904,39650,-5,9,2.446255,1.392901288677701,2,1,1,3,4,-520511347
144,0,1904,12303,-5,9,2.43022,1.3998817807229296,1,1,1,1,1,-520511347
135,0,1008,39650,0,5982,953.780858,1373.9481247084987,61,0,0,1613,3266,-520511347
144,0,1008,12303,0,5896,915.300658,1356.3091763779378,13,0,0,1486,3216,-520511347
135,0,1902,9736,0,13,0.754325,1.9950253131226179,0,0,0,0,2,-520511347
144,0,1902,3028,0,13,0.752499,1.9998349931931885,0,0,0,0,2,-520511347
135,0,1009,39650,0,2711,392.62918,553.7233484719603,115,2,3,600,1254,-520511347
144,0,1009,12303,0,2703,372.025522,543.6046318529671,94,2,3,561,1193,-520511347
135,0,1002,39650,19,85,62.600757,11.35004295146058,63,47,55,71,78,-520511347
144,0,1002,12303,19,85,62.468504,11.379894331671098,63,47,55,71,78,-520511347
144,0,1903,12303,0,6,0.736081,1.0528257215702892,0,0,0,1,2,-520511347
135,0,1903,39650,0,6,0.744212,1.0577632060154105,0,0,0,1,2,-520511347
