concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
4147613,Echocardiography for determining ventricular contraction,Procedure,SNOMED,Procedure,S,35757004,2002-01-31,2099-12-31,
8717,Inpatient Hospital,Visit,CMS Place of Service,Visit,S,21,1970-01-01,2099-12-31,
8913,Psychiatric Facility-Partial Hospitalization,Visit,CMS Place of Service,Visit,S,52,1970-01-01,2099-12-31,
8920,Comprehensive Inpatient Rehabilitation Facility,Visit,CMS Place of Service,Visit,S,61,1970-01-01,2099-12-31,
581384,Inpatient Nursery,Visit,CMS Place of Service,Visit,S,OMOP4822037,1970-01-01,2099-12-31,
581383,Inpatient Cardiac Care Facility,Visit,CMS Place of Service,Visit,S,OMOP4822038,1970-01-01,2099-12-31,
581379,Inpatient Critical Care Facility,Visit,CMS Place of Service,Visit,S,OMOP4822042,1970-01-01,2099-12-31,
37395582,History of acute ST segment elevation myocardial infarction,Observation,SNOMED,Context-dependent,,285721000119104,2016-07-31,2099-12-31,
43020460,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,Condition,SNOMED,Clinical Finding,S,285981000119103,2013-01-31,2099-12-31,
2616263,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; complete",Procedure,HCPCS,HCPCS,S,C8921,2008-01-01,2099-12-31,
2616264,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; follow-up or limited study",Procedure,HCPCS,HCPCS,S,C8922,2008-01-01,2099-12-31,
2616265,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, without spectral or color doppler echocardiography",Procedure,HCPCS,HCPCS,S,C8923,2008-01-01,2099-12-31,
2616266,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, follow-up or limited study",Procedure,HCPCS,HCPCS,S,C8924,2008-01-01,2099-12-31,
2616267,"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, real time with image documentation (2d) (with or without m-mode recording); including probe placement, image acquisition, interpretation and report",Procedure,HCPCS,HCPCS,S,C8925,2008-01-01,2099-12-31,
2616268,"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report",Procedure,HCPCS,HCPCS,S,C8926,2008-01-01,2099-12-31,
2616269,"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assess...",Procedure,HCPCS,HCPCS,S,C8927,2008-01-01,2099-12-31,
2616270,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercis...",Procedure,HCPCS,HCPCS,S,C8928,2008-01-01,2099-12-31,
2616271,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, with spectral doppler echocardiography, and with color flow doppl...",Procedure,HCPCS,HCPCS,S,C8929,2009-01-01,2099-12-31,
2616272,"Transthoracic echocardiography, with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exerci...",Procedure,HCPCS,HCPCS,S,C8930,2009-01-01,2099-12-31,
43533247,"Percutaneous transcatheter placement of drug eluting intracoronary stent(s), with coronary angioplasty when performed; single major coronary artery or branch",Procedure,HCPCS,HCPCS,S,C9600,2013-01-01,2099-12-31,
43533352,"Percutaneous transcatheter placement of drug-eluting intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)",Procedure,HCPCS,HCPCS,S,C9601,2013-01-01,2099-12-31,
43533353,"Percutaneous transluminal coronary atherectomy, with drug eluting intracoronary stent, with coronary angioplasty when performed; single major coronary artery or branch",Procedure,HCPCS,HCPCS,S,C9602,2013-01-01,2099-12-31,
43533248,"Percutaneous transluminal coronary atherectomy, with drug-eluting intracoronary stent, with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)",Procedure,HCPCS,HCPCS,S,C9603,2013-01-01,2099-12-31,
43533186,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when perform...",Procedure,HCPCS,HCPCS,S,C9604,2013-01-01,2099-12-31,
43533223,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when perform...",Procedure,HCPCS,HCPCS,S,C9605,2013-01-01,2099-12-31,
43533187,"Percutaneous transluminal revascularization of acute total/subtotal occlusion during acute myocardial infarction, coronary artery or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, includi...",Procedure,HCPCS,HCPCS,S,C9606,2013-01-01,2099-12-31,
43533354,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; single vessel",Procedure,HCPCS,HCPCS,S,C9607,2013-01-01,2099-12-31,
43533242,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; each additional coronary...",Procedure,HCPCS,HCPCS,S,C9608,2013-01-01,2099-12-31,
40217358,"Blinded procedure for nyha class iii/iv heart failure; transcatheter implantation of interatrial shunt or placebo control, including right heart catheterization, trans-esophageal echocardiography (tee)/intracardiac echocardiography (ice), and all imagi...",Procedure,HCPCS,HCPCS,S,C9758,2020-01-01,2099-12-31,
704057,"Hospital outpatient clinic visit specimen collection for severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease [covid-19]), any specimen source",Procedure,HCPCS,HCPCS,,C9803,2020-03-01,2099-12-31,
2617342,Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility,Procedure,HCPCS,HCPCS,,G0257,2003-01-01,2099-12-31,
2617369,"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single vessel (Deprecated)",Procedure,HCPCS,HCPCS,S,G0290,2003-01-01,2015-10-27,
2617370,"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; each additional vessel (Deprecated)",Procedure,HCPCS,HCPCS,S,G0291,2003-01-01,2015-10-27,
2617460,Trauma response team associated with hospital critical care service,Observation,HCPCS,HCPCS,S,G0390,2007-01-01,2099-12-31,
43533339,Patient documented not to have experienced any of the following events: a burn prior to discharge; a fall within the facility; wrong site/side/patient/procedure/implant event; or a hospital transfer or hospital admission upon discharge from the facility,Observation,HCPCS,HCPCS,S,G8907,2012-04-01,2099-12-31,
43533357,Patient documented to have experienced a hospital transfer or hospital admission upon discharge from asc,Observation,HCPCS,HCPCS,S,G8914,2012-04-01,2099-12-31,
43533364,Patient documented not to have experienced a hospital transfer or hospital admission upon discharge from asc,Observation,HCPCS,HCPCS,S,G8915,2012-04-01,2099-12-31,
43533197,"Transesophageal doppler measurement of cardiac output (including probe placement, image acquisition, and interpretation per course of treatment) for monitoring purposes",Procedure,HCPCS,HCPCS,S,G9157,2013-01-01,2099-12-31,
2618104,Alcohol and/or drug services; group counseling by a clinician,Procedure,HCPCS,HCPCS,,H0005,2001-01-01,2099-12-31,
2618105,Alcohol and/or drug services; case management,Procedure,HCPCS,HCPCS,,H0006,2001-01-01,2099-12-31,
2618113,Alcohol and/or drug services; ambulatory detoxification,Procedure,HCPCS,HCPCS,,H0014,2001-01-01,2099-12-31,
2618114,"Alcohol and/or drug services; intensive outpatient (treatment program that operates at least 3 hours/day and at least 3 days/week and is based on an individualized treatment plan), including assessment, counseling; crisis intervention, and activity the...",Procedure,HCPCS,HCPCS,,H0015,2001-01-01,2099-12-31,
2618115,Alcohol and/or drug services; medical/somatic (medical intervention in ambulatory setting),Procedure,HCPCS,HCPCS,,H0016,2001-01-01,2099-12-31,
2618119,Alcohol and/or drug services; methadone administration and/or service (provision of the drug by a licensed program),Procedure,HCPCS,HCPCS,,H0020,2001-01-01,2099-12-31,
2618149,"Alcohol and/or drug services, brief intervention, per 15 minutes",Procedure,HCPCS,HCPCS,,H0050,2007-01-01,2099-12-31,
800973,"Intravenous injection, bebtelovimab, includes injection and post administration monitoring in the home or residence; this includes a beneficiary's home that has been made provider-based to the hospital during the covid-19 public health emergency",Drug,HCPCS,HCPCS,,M0223,2022-02-11,2099-12-31,
801193,"Intravenous infusion or subcutaneous injection, casirivimab and imdevimab includes infusion or injection, and post administration monitoring in the home or residence; this includes a beneficiary's home that has been made provider-based to the hospital...",Drug,HCPCS,HCPCS,,M0244,2021-05-06,2099-12-31,
2720559,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,Observation,HCPCS,HCPCS,S,P9603,1987-01-01,2099-12-31,
2720560,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge,Observation,HCPCS,HCPCS,S,P9604,1987-01-01,2099-12-31,
2721013,"Partial hospitalization services, less than 24 hours, per diem",Observation,HCPCS,HCPCS,S,S0201,2002-10-01,2099-12-31,
2721125,"Bone marrow or blood-derived stem cells (peripheral or umbilical), allogeneic or autologous, harvesting, transplantation, and related complications; including: pheresis and cell preparation/storage; marrow ablative therapy; drugs, supplies, hospitaliza...",Procedure,HCPCS,HCPCS,S,S2150,2002-01-01,2099-12-31,
2721126,"Solid organ(s), complete or segmental, single organ or combination of organs; deceased or living donor(s), procurement, transplantation, and related complications; including: drugs; supplies; hospitalization with outpatient follow-up; medical/surgical,...",Procedure,HCPCS,HCPCS,S,S2152,2004-04-01,2099-12-31,
2721563,"Routine venipuncture for collection of specimen(s), single home bound, nursing home, or skilled nursing facility patient",Procedure,HCPCS,HCPCS,,S9529,2002-01-01,2099-12-31,
2721641,"Personal care services, per 15 minutes, not for an inpatient or resident of a hospital, nursing facility, icf/mr or imd, part of the individualized plan of treatment (code may not be used to identify services provided by home health aide or certified n...",Observation,HCPCS,HCPCS,S,T1019,2002-07-01,2099-12-31,
45757957,Antibody-coated coronary artery stent,Device,SNOMED,Physical Object,S,462402001,2014-07-31,2099-12-31,
45758194,Radio-frequency coronary angioplasty system,Device,SNOMED,Physical Object,S,462755008,2014-07-31,2099-12-31,
45758408,Perfusing coronary angioplasty balloon catheter,Device,SNOMED,Physical Object,S,463095008,2014-07-31,2099-12-31,
45758897,Mesh sleeve coronary artery stent,Device,SNOMED,Physical Object,S,463853003,2014-07-31,2099-12-31,
45759034,Bare metal coronary artery stent,Device,SNOMED,Physical Object,S,464052002,2014-07-31,2099-12-31,
45759254,Thermal coronary angioplasty balloon catheter,Device,SNOMED,Physical Object,S,464394006,2014-07-31,2099-12-31,
45760132,Atherectomy coronary angioplasty catheter,Device,SNOMED,Physical Object,S,465708007,2014-07-31,2099-12-31,
45760475,Basic coronary angioplasty balloon catheter,Device,SNOMED,Physical Object,S,466209009,2014-07-31,2099-12-31,
45761128,Vibratory intravascular recanalization system catheter,Device,SNOMED,Physical Object,S,467113003,2014-07-31,2099-12-31,
45761255,Coronary angioplasty laser catheter,Device,SNOMED,Physical Object,S,467298003,2014-07-31,2099-12-31,
45772472,Coronary angioplasty radio-frequency catheter,Device,SNOMED,Physical Object,S,468003007,2014-07-31,2099-12-31,
45761737,Cutting/scoring coronary angioplasty balloon catheter,Device,SNOMED,Physical Object,S,468004001,2014-07-31,2099-12-31,
45562340,ST elevation (STEMI) myocardial infarction involving left main coronary artery,Condition,ICD10CM,5-char billing code,,I21.01,1970-01-01,2099-12-31,
45572079,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,Condition,ICD10CM,5-char billing code,,I21.02,1970-01-01,2099-12-31,
45576865,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,Condition,ICD10CM,5-char billing code,,I21.09,1970-01-01,2099-12-31,
45533436,ST elevation (STEMI) myocardial infarction involving right coronary artery,Condition,ICD10CM,5-char billing code,,I21.11,1970-01-01,2099-12-31,
45605779,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,Condition,ICD10CM,5-char billing code,,I21.19,1970-01-01,2099-12-31,
45572080,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,Condition,ICD10CM,5-char billing code,,I21.21,1970-01-01,2099-12-31,
45557536,ST elevation (STEMI) myocardial infarction involving other sites,Condition,ICD10CM,5-char billing code,,I21.29,1970-01-01,2099-12-31,
35207684,ST elevation (STEMI) myocardial infarction of unspecified site,Condition,ICD10CM,4-char billing code,,I21.3,2007-01-01,2099-12-31,
35207685,Non-ST elevation (NSTEMI) myocardial infarction,Condition,ICD10CM,4-char billing code,,I21.4,2007-01-01,2099-12-31,
45605781,Subsequent non-ST elevation (NSTEMI) myocardial infarction,Condition,ICD10CM,4-char billing code,,I22.2,1970-01-01,2099-12-31,
45601024,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,Condition,ICD10CM,6-char billing code,,I25.110,1970-01-01,2099-12-31,
45586574,Atherosclerosis of native coronary artery of transplanted heart with unstable angina,Condition,ICD10CM,6-char billing code,,I25.750,1970-01-01,2099-12-31,
45539333,"Coma scale, eyes open, never, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2113,1970-01-01,2099-12-31,
45539334,"Coma scale, eyes open, never, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2114,1970-01-01,2099-12-31,
45553731,"Coma scale, eyes open, to pain, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2123,1970-01-01,2099-12-31,
45582705,"Coma scale, eyes open, to pain, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2124,1970-01-01,2099-12-31,
45587512,"Coma scale, eyes open, to sound, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2133,1970-01-01,2099-12-31,
45539336,"Coma scale, eyes open, to sound, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2134,1970-01-01,2099-12-31,
45568129,"Coma scale, eyes open, spontaneous, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2143,1970-01-01,2099-12-31,
45534446,"Coma scale, eyes open, spontaneous, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2144,1970-01-01,2099-12-31,
45606807,"Coma scale, best verbal response, none, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2213,1970-01-01,2099-12-31,
45602021,"Coma scale, best verbal response, none, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2214,1970-01-01,2099-12-31,
45606809,"Coma scale, best verbal response, incomprehensible words, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2223,1970-01-01,2099-12-31,
45597180,"Coma scale, best verbal response, incomprehensible words, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2224,1970-01-01,2099-12-31,
45544141,"Coma scale, best verbal response, inappropriate words, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2233,1970-01-01,2099-12-31,
45553733,"Coma scale, best verbal response, inappropriate words, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2234,1970-01-01,2099-12-31,
45597182,"Coma scale, best verbal response, confused conversation, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2243,1970-01-01,2099-12-31,
45592418,"Coma scale, best verbal response, confused conversation, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2244,1970-01-01,2099-12-31,
45606810,"Coma scale, best verbal response, oriented, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2253,1970-01-01,2099-12-31,
45534448,"Coma scale, best verbal response, oriented, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2254,1970-01-01,2099-12-31,
45602022,"Coma scale, best motor response, none, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2313,1970-01-01,2099-12-31,
45544142,"Coma scale, best motor response, none, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2314,1970-01-01,2099-12-31,
45544143,"Coma scale, best motor response, extension, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2323,1970-01-01,2099-12-31,
45544144,"Coma scale, best motor response, extension, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2324,1970-01-01,2099-12-31,
45577794,"Coma scale, best motor response, abnormal flexion, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2333,1970-01-01,2099-12-31,
45563303,"Coma scale, best motor response, abnormal flexion, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2334,1970-01-01,2099-12-31,
45587516,"Coma scale, best motor response, flexion withdrawal, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2343,1970-01-01,2099-12-31,
45568130,"Coma scale, best motor response, flexion withdrawal, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2344,1970-01-01,2099-12-31,
45587517,"Coma scale, best motor response, localizes pain, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2353,1970-01-01,2099-12-31,
45548967,"Coma scale, best motor response, localizes pain, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2354,1970-01-01,2099-12-31,
45602027,"Coma scale, best motor response, obeys commands, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2363,1970-01-01,2099-12-31,
45597184,"Coma scale, best motor response, obeys commands, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2364,1970-01-01,2099-12-31,
37201096,"Glasgow coma scale score 13-15, at hospital admission",Condition,ICD10CM,7-char billing code,,R40.2413,2017-01-01,2099-12-31,
37201097,"Glasgow coma scale score 13-15, 24 hours or more after hospital admission",Condition,ICD10CM,7-char billing code,,R40.2414,2017-01-01,2099-12-31,
37201101,"Glasgow coma scale score 9-12, at hospital admission",Condition,ICD10CM,7-char billing code,,R40.2423,2017-01-01,2099-12-31,
37201102,"Glasgow coma scale score 9-12, 24 hours or more after hospital admission",Condition,ICD10CM,7-char billing code,,R40.2424,2017-01-01,2099-12-31,
37201106,"Glasgow coma scale score 3-8, at hospital admission",Condition,ICD10CM,7-char billing code,,R40.2433,2017-01-01,2099-12-31,
37201107,"Glasgow coma scale score 3-8, 24 hours or more after hospital admission",Condition,ICD10CM,7-char billing code,,R40.2434,2017-01-01,2099-12-31,
37201111,"Other coma, without documented Glasgow coma scale score, or with partial score reported, at hospital admission",Observation,ICD10CM,7-char billing code,,R40.2443,2017-01-01,2099-12-31,
37201112,"Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission",Observation,ICD10CM,7-char billing code,,R40.2444,2017-01-01,2099-12-31,
4019824,Transesophageal echocardiography,Procedure,SNOMED,Procedure,S,105376000,2002-01-31,2099-12-31,
4006788,Percutaneous transluminal coronary angioplasty,Procedure,SNOMED,Procedure,S,11101003,2002-01-31,2099-12-31,
37209048,PoC (point of care) cardiac ultrasonography,Procedure,SNOMED,Procedure,S,1111771000000109,2019-06-01,2099-12-31,
44835459,"Single liveborn, born in hospital",Observation,ICD9CM,4-dig nonbill V code,,V30.0,1970-01-01,2099-12-31,
44833089,"Single liveborn, born in hospital, delivered without mention of cesarean section",Observation,ICD9CM,5-dig billing V code,,V30.00,1970-01-01,2099-12-31,
44826183,"Single liveborn, born in hospital, delivered by cesarean section",Observation,ICD9CM,5-dig billing V code,,V30.01,1970-01-01,2099-12-31,
44837806,"Single liveborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V30.1,1970-01-01,2099-12-31,
44824998,"Single liveborn, born outside hospital and not hospitalized",Observation,ICD9CM,4-dig billing V code,,V30.2,1970-01-01,2099-12-31,
44824999,"Twin, mate liveborn, born in hospital",Condition,ICD9CM,4-dig nonbill V code,,V31.0,1970-01-01,2099-12-31,
44828529,"Twin birth, mate liveborn, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V31.00,1970-01-01,2099-12-31,
44827347,"Twin birth, mate liveborn, born in hospital, delivered by cesarean section",Condition,ICD9CM,5-dig billing V code,,V31.01,1970-01-01,2099-12-31,
44821536,"Twin birth, mate liveborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V31.1,1970-01-01,2099-12-31,
44823817,"Twin birth, mate liveborn, born outside hospital and not hospitalized",Condition,ICD9CM,4-dig billing V code,,V31.2,1970-01-01,2099-12-31,
44823818,"Twin birth, mate stillborn, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V32.00,1970-01-01,2099-12-31,
44830777,"Twin birth, mate stillborn, born in hospital, delivered by cesarean section",Condition,ICD9CM,5-dig billing V code,,V32.01,1970-01-01,2099-12-31,
44830778,"Twin birth, mate stillborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V32.1,1970-01-01,2099-12-31,
44820415,"Twin birth, mate stillborn, born outside hospital and not hospitalized",Condition,ICD9CM,4-dig billing V code,,V32.2,1970-01-01,2099-12-31,
44831935,"Twin, unspecified, born in hospital",Condition,ICD9CM,4-dig nonbill V code,,V33.0,1970-01-01,2099-12-31,
44825000,"Twin birth, unspecified whether mate liveborn or stillborn, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V33.00,1970-01-01,2099-12-31,
44826185,"Twin birth, unspecified whether mate liveborn or stillborn, born in hospital, delivered by cesarean section",Observation,ICD9CM,5-dig billing V code,,V33.01,1970-01-01,2099-12-31,
44820416,"Twin birth, unspecified whether mate liveborn or stillborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V33.1,1970-01-01,2099-12-31,
44823819,"Twin birth, unspecified whether mate liveborn or stillborn, born outside hospital and not hospitalized",Condition,ICD9CM,4-dig billing V code,,V33.2,1970-01-01,2099-12-31,
44833091,"Other multiple, mates all liveborn, born in hospital",Condition,ICD9CM,4-dig nonbill V code,,V34.0,1970-01-01,2099-12-31,
44823820,"Other multiple birth (three or more), mates all liveborn, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V34.00,1970-01-01,2099-12-31,
44822689,"Other multiple birth (three or more), mates all liveborn, born in hospital, delivered by cesarean section",Condition,ICD9CM,5-dig billing V code,,V34.01,1970-01-01,2099-12-31,
44830780,"Other multiple birth (three or more), mates all liveborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V34.1,1970-01-01,2099-12-31,
44820417,"Other multiple birth (three or more), mates all liveborn, born outside hospital and not hospitalized",Condition,ICD9CM,4-dig billing V code,,V34.2,1970-01-01,2099-12-31,
44834266,"Other multiple birth (three or more), mates all still born, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V35.00,1970-01-01,2099-12-31,
44821537,"Other multiple birth (three or more), mates all still born, born in hospital, delivered by cesarean section",Condition,ICD9CM,5-dig billing V code,,V35.01,1970-01-01,2099-12-31,
44820418,"Other multiple birth (three or more), mates all stillborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V35.1,1970-01-01,2099-12-31,
44822691,"Other multiple birth (three or more), mates all stillborn, born outside of hospital and not hospitalized",Condition,ICD9CM,4-dig billing V code,,V35.2,1970-01-01,2099-12-31,
44821538,"Other multiple birth (three or more), mates liveborn and stillborn, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V36.00,1970-01-01,2099-12-31,
44828532,"Other multiple birth (three or more), mates liveborn and stillborn, born in hospital, delivered without mention of cesarean section",Condition,ICD9CM,5-dig billing V code,,V36.01,1970-01-01,2099-12-31,
44828533,"Other multiple birth (three or more), mates liveborn and stillborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V36.1,1970-01-01,2099-12-31,
44830782,"Other multiple birth (three or more), mates liveborn and stillborn, born outside hospital and not hospitalized",Condition,ICD9CM,4-dig billing V code,,V36.2,1970-01-01,2099-12-31,
44825001,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered without mention of cesarean section",Observation,ICD9CM,5-dig billing V code,,V37.00,1970-01-01,2099-12-31,
44834267,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered by cesarean section",Condition,ICD9CM,5-dig billing V code,,V37.01,1970-01-01,2099-12-31,
44827350,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born before admission to hospital",Condition,ICD9CM,4-dig billing V code,,V37.1,1970-01-01,2099-12-31,
44828535,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born outside of hospital",Condition,ICD9CM,4-dig billing V code,,V37.2,1970-01-01,2099-12-31,
44829629,"Liveborn, unspecified whether single, twin or multiple, born in hospital, delivered without mention of cesarean section",Observation,ICD9CM,5-dig billing V code,,V39.00,1970-01-01,2099-12-31,
