database_id,start_time,variable_field,value_field
449523062,TM_2024-02-07 15:35:30,timeZone,Etc/UTC
449523062,TM_2024-02-07 15:35:30,runTime,14.8662416577339
449523062,TM_2024-02-07 15:35:30,runTimeUnits,mins
449523062,TM_2024-02-07 15:35:30,packageDependencySnapShotJson,{}
449523062,TM_2024-02-07 15:35:30,argumentsAtDiagnosticsInitiationJson,"{
	""runInclusionStatistics"" : true,
	""runIncludedSourceConcepts"" : true,
	""runOrphanConcepts"" : true,
	""runTimeSeries"" : false,
	""runVisitContext"" : true,
	""runBreakdownIndexEvents"" : true,
	""runIncidenceRate"" : true,
	""runTemporalCohortCharacterization"" : true,
	""minCellCount"" : 5,
	""minCharacterizationMean"" : 0.010000000000000000208167,
	""incremental"" : false,
	""temporalCovariateSettings"" : [
		""getDefaultCovariateSettings""
	]
}"
449523062,TM_2024-02-07 15:35:30,rversion,R version 4.2.1 (2022-06-23)
449523062,TM_2024-02-07 15:35:30,currentPackage,CohortDiagnostics
449523062,TM_2024-02-07 15:35:30,currentPackageVersion,3.2.5
449523062,TM_2024-02-07 15:35:30,sourceDescription,"Data is from 2015 - 2023 and comprises of fully adjudicated medical and pharmacy claims. It contains a longitudinal view of inpatient and outpatient services, prescription and office/outpatient administered drugs, costs and enrollment information. With IQVIA Adjudicated Health Plan Claims, an enrolled patient can be tracked across all sites of care: hospital, specialist, emergency room, pharmacy, primary care, and more.�"
449523062,TM_2024-02-07 15:35:30,cdmSourceName,PharMetrics Plus
449523062,TM_2024-02-07 15:35:30,sourceReleaseDate,2023-06-30
449523062,TM_2024-02-07 15:35:30,cdmVersion,v5.3.1
449523062,TM_2024-02-07 15:35:30,cdmReleaseDate,2023-12-29
449523062,TM_2024-02-07 15:35:30,vocabularyVersion,v5.0 31-AUG-23
449523062,TM_2024-02-07 15:35:30,datasourceName,PharMetrics Plus
449523062,TM_2024-02-07 15:35:30,datasourceDescription,"Data is from 2015 - 2023 and comprises of fully adjudicated medical and pharmacy claims. It contains a longitudinal view of inpatient and outpatient services, prescription and office/outpatient administered drugs, costs and enrollment information. With IQVIA Adjudicated Health Plan Claims, an enrolled patient can be tracked across all sites of care: hospital, specialist, emergency room, pharmacy, primary care, and more.�"
449523062,TM_2024-02-07 15:35:30,vocabularyVersionCdm,v5.0 31-AUG-23
449523062,TM_2024-02-07 15:35:30,observationPeriodMinDate,2015-01-01
449523062,TM_2024-02-07 15:35:30,observationPeriodMaxDate,2023-07-31
449523062,TM_2024-02-07 15:35:30,personsInDatasource,53228752
449523062,TM_2024-02-07 15:35:30,recordsInDatasource,58303570
449523062,TM_2024-02-07 15:35:30,personDaysInDatasource,41014365350
