concept_id,concept_synonym_name,language_concept_id
46270159,Acute ST segment elevation myocardial infarction of anterolateral wall (disorder),4180186
46270160,Acute ST segment elevation myocardial infarction of anteroseptal wall (disorder),4180186
46273020,Doppler fetal echocardiography (procedure),4180186
46273020,Doppler foetal echocardiography,4180186
46273033,Doppler transoesophageal echocardiography,4180186
46273033,Doppler transesophageal echocardiography (procedure),4180186
46273495,Acute ST segment elevation myocardial infarction of posterobasal wall (disorder),4180186
800973,Bebtelovimab injection home,4180186
915647,Er and ip hosp <2 in 12 mos,4180186
915648,Er/ip hosp =/>2 in 12 mos,4180186
2110924,Repair of laceration of conjunctiva by mobilization and rearrangement,4180186
2110924,Repair of lacerated conjunctiva using flap or graft,4180186
2110924,RPR LAC CJNC MOBLJ& REARGMT W/O HOSPITALIZATION,4180186
2110924,"Repair of laceration; conjunctiva, by mobilization and rearrangement, without hospitalization | [Therapeutic or Preventive Procedure]",4180186
2211762,Repeat real time echocardiography of fetal cardiovascular system with 2-dimensional (2D) image documentation and M-mode recording,4180186
2211762,Follow-up real time echocardiography of fetal cardiovascular system with 2-dimensional (2D) image documentation,4180186
2211762,Follow-up real time echocardiography of fetal cardiovascular system with 2-dimensional (2D) image documentation and M-mode recording,4180186
2211762,Repeat real time echocardiography of fetal cardiovascular system with 2-dimensional (2D) image documentation,4180186
2211762,ECHO FETAL CARDIOVASC W/WO M-MODE REPEAT STD,4180186
2211762,"Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording; follow-up or repeat study | [Diagnostic Procedure]",4180186
2211762,Follow-up ultrasound scan of fetal heart,4180186
2313800,"Intravascular ultrasound (IVUS) of coronary vessel during therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Intravascular ultrasound (IVUS) of coronary graft during therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Optical coherence tomography (OCT) of coronary vessel during therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Optical coherence tomography (OCT) of coronary vessel during diagnostic evaluation and therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Intravascular ultrasound (IVUS) of coronary graft during diagnostic evaluation and therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Optical coherence tomography (OCT) of coronary vessel during diagnostic evaluation with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Optical coherence tomography (OCT) of coronary graft during diagnostic evaluation with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Intravascular ultrasound (IVUS) of coronary graft during diagnostic evaluation with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Optical coherence tomography (OCT) of coronary graft during diagnostic evaluation and therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Intravascular ultrasound (IVUS) of coronary vessel during diagnostic evaluation and therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Intravascular ultrasound (IVUS) of coronary vessel during diagnostic evaluation with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Optical coherence tomography (OCT) of coronary graft during therapeutic intervention with imaging supervision, interpretation and report, each additional vessel",4180186
2313800,"Endoluminal imaging of coronary vessel or graft using intravascular ultrasound (IVUS) or optical coherence tomography (OCT) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report; each additional vessel (List separately in addition to code for primary procedure)",4180186
2313800,ENDOLUMINAL CORONARY IVUS OCT I&R ADDL VESSEL,4180186
2313800,"Endoluminal imaging of coronary vessel or graft using intravascular ultrasound (IVUS) or optical coherence tomography (OCT) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report; each addi... | [Diagnostic Procedure]",4180186
2313800,"Ultrasound evaluation of heart blood vessel or graft with review by radiologist, each additional vessel",4180186
2313874,Interpretation and report only of real time transesophageal echocardiography with 2-dimensional (2D) image documentation and image acquisition,4180186
2313874,ECHO TRANSESOPHAG R-T 2D IMG ACQUISJ I&R ONLY,4180186
2313874,Interpretation and report of ultrasound of heart,4180186
2313874,"Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording); image acquisition, interpretation and report only | [Diagnostic Procedure]",4180186
2514408,SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES,4180186
2514408,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",4180186
2514408,"Subsequent hospital inpatient care, per day, for evaluation and management of patient requiring medically appropriate examination and moderate level of medical decision making. If using time, at least 35 minutes total time on encounter date must be met.",4180186
2514408,"Subsequent hospital inpatient care, per day, for evaluation and management of patient requiring medically appropriate history and moderate level of medical decision making. If using time, at least 35 minutes total time on encounter date must be met.",4180186
2514408,"Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 35 minutes must be met or exceeded.",4180186
