task,startTime,cohortIds,executionTime,parent
getCdmDataSourceInformation,2024-02-07T15:35:32Z,,6.49203181266785,executeDiagnostics
observationPeriodDateRange,2024-02-07T15:35:39Z,,1.26447701454163,executeDiagnostics
getInclusionStats,2024-02-07T15:35:41Z,,0.835321664810181,executeDiagnostics
getInclusionStatsCohortGenerator,2024-02-07T15:35:42Z,,9.63635087013245,getInclusionStats
getInclusionStats,2024-02-07T15:35:42Z,,9.86002373695374,executeDiagnostics
instantiateUniqueConceptSets,2024-02-07T15:35:52Z,,5.6287157535553,runConceptSetDiagnostics
createConceptCountsTable,2024-02-07T15:35:58Z,,1.96875324646632,runConceptSetDiagnostics
runIncludedSourceConcepts,2024-02-07T15:37:56Z,,1.578220530351,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:39:51Z,concept_set- [OHDSI STEMI] STEMI ICD concept set,13.6687433719635,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:40:05Z,concept_set- [OHDSI STEMI] non-STEMI ICD concept set,10.1979401111603,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:40:16Z,concept_set- [OHDSI STEMI] PCI with or without stent,17.6908030509949,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:40:34Z,concept_set- Inpatient visitv2,12.923819065094,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:40:48Z,concept_set- [OHDSI STEMI] Echocardiogram,15.570015668869,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:41:04Z,concept_set- [OHDSI STEMI] STEMI ICD concept set,9.3486020565033,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:41:14Z,concept_set- [OHDSI STEMI] non-STEMI ICD concept set,10.0893585681915,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:41:24Z,concept_set- [OHDSI STEMI] PCI with or without stent,16.6682116985321,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:41:42Z,concept_set- Inpatient visitv2,12.5139808654785,runConceptSetDiagnostics
orphanConcepts,2024-02-07T15:41:55Z,concept_set- [OHDSI STEMI] Echocardiogram,16.0911717414856,runConceptSetDiagnostics
allOrphanConcepts,2024-02-07T15:39:51Z,,2.34643431107203,runConceptSetDiagnostics
runConceptSetDiagnostics,2024-02-07T15:35:52Z,,6.36054284572601,executeDiagnostics
runCohortTimeSeriesDiagnostics,2024-02-07T15:42:14Z,135;144,23.1783409118652,executeTimeSeriesDiagnostics
executeTimeSeriesDiagnostics,2024-02-07T15:42:14Z,,31.18519282341,executeDiagnostics
executeVisitContextDiagnostics,2024-02-07T15:42:45Z,,5.84397268295288,executeDiagnostics
getIncidenceRate,2024-02-07T15:42:51Z,135,15.9185926914215,computeIncidenceRates
getIncidenceRate,2024-02-07T15:43:07Z,144,16.2598206996918,computeIncidenceRates
computeIncidenceRates,2024-02-07T15:42:51Z,,32.6882483959198,executeDiagnostics
runCohortRelationshipDiagnostics,2024-02-07T15:43:24Z,135;144;144;135,41.9094285964966,executeCohortRelationshipDiagnostics
executeCohortRelationshipDiagnostics,2024-02-07T15:43:24Z,,42.222733259201,executeDiagnostics
getDbCovariateData,2024-02-07T15:44:06Z,135;144,3.89940483967463,getCohortCharacteristics
executeCohortCharacterization,2024-02-07T15:44:06Z,,5.82777152856191,executeDiagnostics
exportConceptInformation,2024-02-07T15:49:56Z,,25.5763759613037,executeDiagnostics
DeleteConceptIdTable,2024-02-07T15:50:21Z,,0.584743976593018,executeDiagnostics
executeDiagnostics,2024-02-07T15:35:30Z,,14.8662416577339,
writeResultsZip,2024-02-07T15:50:22Z,,1.36559772491455,executeDiagnostics
