task,startTime,cohortIds,executionTime,parent
getCdmDataSourceInformation,2024-02-06T09:27:20Z,,5.63052296638489,executeDiagnostics
observationPeriodDateRange,2024-02-06T09:27:26Z,,2.19708442687988,executeDiagnostics
getInclusionStats,2024-02-06T09:27:28Z,,0.757423162460327,executeDiagnostics
getInclusionStatsCohortGenerator,2024-02-06T09:27:29Z,,10.0558135509491,getInclusionStats
getInclusionStats,2024-02-06T09:27:29Z,,10.2036199569702,executeDiagnostics
instantiateUniqueConceptSets,2024-02-06T09:27:40Z,,4.6170449256897,runConceptSetDiagnostics
createConceptCountsTable,2024-02-06T09:27:44Z,,16.342159307003,runConceptSetDiagnostics
runIncludedSourceConcepts,2024-02-06T09:44:05Z,,16.0965185840925,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:01:12Z,concept_set- [OHDSI STEMI] STEMI ICD concept set,16.2503983974457,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:01:29Z,concept_set- [OHDSI STEMI] non-STEMI ICD concept set,13.9580478668213,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:01:43Z,concept_set- [OHDSI STEMI] PCI with or without stent,26.4135727882385,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:02:10Z,concept_set- Inpatient visitv2,13.2205059528351,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:02:24Z,concept_set- [OHDSI STEMI] Echocardiogram,37.5436692237854,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:03:02Z,concept_set- [OHDSI STEMI] STEMI ICD concept set,12.1176543235779,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:03:15Z,concept_set- [OHDSI STEMI] non-STEMI ICD concept set,11.6892120838165,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:03:27Z,concept_set- [OHDSI STEMI] PCI with or without stent,28.8130629062653,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:03:57Z,concept_set- Inpatient visitv2,12.911285161972,runConceptSetDiagnostics
orphanConcepts,2024-02-06T10:04:10Z,concept_set- [OHDSI STEMI] Echocardiogram,40.3777565956116,runConceptSetDiagnostics
allOrphanConcepts,2024-02-06T10:01:12Z,,3.94089161157608,runConceptSetDiagnostics
runConceptSetDiagnostics,2024-02-06T09:27:40Z,,37.5290204286575,executeDiagnostics
runCohortTimeSeriesDiagnostics,2024-02-06T10:05:11Z,135;144,44.1967315673828,executeTimeSeriesDiagnostics
executeTimeSeriesDiagnostics,2024-02-06T10:05:11Z,,51.1547431945801,executeDiagnostics
executeVisitContextDiagnostics,2024-02-06T10:06:03Z,,16.2273991107941,executeDiagnostics
getIncidenceRate,2024-02-06T10:06:19Z,135,41.1265134811401,computeIncidenceRates
getIncidenceRate,2024-02-06T10:07:00Z,144,41.6471693515778,computeIncidenceRates
computeIncidenceRates,2024-02-06T10:06:19Z,,1.38489584922791,executeDiagnostics
runCohortRelationshipDiagnostics,2024-02-06T10:07:42Z,135;144;144;135,43.4127035140991,executeCohortRelationshipDiagnostics
executeCohortRelationshipDiagnostics,2024-02-06T10:07:42Z,,43.6196372509003,executeDiagnostics
getDbCovariateData,2024-02-06T10:08:25Z,135;144,5.67681812047958,getCohortCharacteristics
executeCohortCharacterization,2024-02-06T10:08:25Z,,7.71733783483505,executeDiagnostics
exportConceptInformation,2024-02-06T10:16:09Z,,1.87125212351481,executeDiagnostics
DeleteConceptIdTable,2024-02-06T10:18:01Z,,0.711984395980835,executeDiagnostics
executeDiagnostics,2024-02-06T09:27:18Z,,50.7295142889023,
writeResultsZip,2024-02-06T10:18:02Z,,2.08724999427795,executeDiagnostics
